T05,Proportion of seats held by women in national parliament,,,,,,,
Region/Country/Area,,Year,Series,Last Election Date,Last Election Date footnote,Value,Footnotes,Source
152,Chile,2010,"Seats held by women in national parliament, as of February (%)",2021-11,,14.2,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
152,Chile,2015,"Seats held by women in national parliament, as of February (%)",2021-11,,15.8,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
152,Chile,2020,"Seats held by women in national parliament, as of February (%)",2021-11,,22.6,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
152,Chile,2021,"Seats held by women in national parliament, as of February (%)",2021-11,,22.6,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
152,Chile,2022,"Seats held by women in national parliament, as of February (%)",2021-11,,35.5,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
152,Chile,2023,"Seats held by women in national parliament, as of February (%)",2021-11,,35.5,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
152,Chile,2024,"Seats held by women in national parliament, as of February (%)",2021-11,,35.5,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
156,China,2000,"Seats held by women in national parliament, as of February (%)",2023-03,,21.8,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
156,China,2005,"Seats held by women in national parliament, as of February (%)",2023-03,,20.2,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
156,China,2010,"Seats held by women in national parliament, as of February (%)",2023-03,,21.3,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
156,China,2015,"Seats held by women in national parliament, as of February (%)",2023-03,,23.6,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
156,China,2020,"Seats held by women in national parliament, as of February (%)",2023-03,,24.9,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
156,China,2021,"Seats held by women in national parliament, as of February (%)",2023-03,,24.9,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
156,China,2022,"Seats held by women in national parliament, as of February (%)",2023-03,,24.9,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
156,China,2023,"Seats held by women in national parliament, as of February (%)",2023-03,,24.9,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
156,China,2024,"Seats held by women in national parliament, as of February (%)",2023-03,,26.5,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
170,Colombia,2000,"Seats held by women in national parliament, as of February (%)",2022-03,,11.8,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
170,Colombia,2005,"Seats held by women in national parliament, as of February (%)",2022-03,,12.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
170,Colombia,2010,"Seats held by women in national parliament, as of February (%)",2022-03,,8.4,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
170,Colombia,2015,"Seats held by women in national parliament, as of February (%)",2022-03,,19.9,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
170,Colombia,2020,"Seats held by women in national parliament, as of February (%)",2022-03,,18.3,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
170,Colombia,2021,"Seats held by women in national parliament, as of February (%)",2022-03,,18.8,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
170,Colombia,2022,"Seats held by women in national parliament, as of February (%)",2022-03,,18.6,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
170,Colombia,2023,"Seats held by women in national parliament, as of February (%)",2022-03,,28.9,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
170,Colombia,2024,"Seats held by women in national parliament, as of February (%)",2022-03,,28.9,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
174,Comoros,2005,"Seats held by women in national parliament, as of February (%)",2020-01,,3.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
174,Comoros,2010,"Seats held by women in national parliament, as of February (%)",2020-01,,3.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
174,Comoros,2020,"Seats held by women in national parliament, as of February (%)",2020-01,,6.1,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
174,Comoros,2021,"Seats held by women in national parliament, as of February (%)",2020-01,,16.7,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
174,Comoros,2022,"Seats held by women in national parliament, as of February (%)",2020-01,,16.7,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
174,Comoros,2023,"Seats held by women in national parliament, as of February (%)",2020-01,,16.7,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
174,Comoros,2024,"Seats held by women in national parliament, as of February (%)",2020-01,,16.7,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
178,Congo,2000,"Seats held by women in national parliament, as of February (%)",2022-07,,12.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
178,Congo,2005,"Seats held by women in national parliament, as of February (%)",2022-07,,8.5,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
178,Congo,2010,"Seats held by women in national parliament, as of February (%)",2022-07,,7.3,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
178,Congo,2015,"Seats held by women in national parliament, as of February (%)",2022-07,,7.4,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
178,Congo,2020,"Seats held by women in national parliament, as of February (%)",2022-07,,11.3,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
178,Congo,2021,"Seats held by women in national parliament, as of February (%)",2022-07,,11.3,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
178,Congo,2022,"Seats held by women in national parliament, as of February (%)",2022-07,,11.3,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
178,Congo,2023,"Seats held by women in national parliament, as of February (%)",2022-07,,14.6,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
178,Congo,2024,"Seats held by women in national parliament, as of February (%)",2022-07,,14.6,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
188,Costa Rica,2000,"Seats held by women in national parliament, as of February (%)",2022-02,,19.3,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
188,Costa Rica,2005,"Seats held by women in national parliament, as of February (%)",2022-02,,35.1,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
188,Costa Rica,2010,"Seats held by women in national parliament, as of February (%)",2022-02,,36.8,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
188,Costa Rica,2015,"Seats held by women in national parliament, as of February (%)",2022-02,,33.3,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
188,Costa Rica,2020,"Seats held by women in national parliament, as of February (%)",2022-02,,45.6,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
188,Costa Rica,2021,"Seats held by women in national parliament, as of February (%)",2022-02,,45.6,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
188,Costa Rica,2022,"Seats held by women in national parliament, as of February (%)",2022-02,,45.6,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
188,Costa Rica,2023,"Seats held by women in national parliament, as of February (%)",2022-02,,47.4,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
188,Costa Rica,2024,"Seats held by women in national parliament, as of February (%)",2022-02,,47.4,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
384,Côte d’Ivoire,2000,"Seats held by women in national parliament, as of February (%)",2021-03,,8.5,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
384,Côte d’Ivoire,2005,"Seats held by women in national parliament, as of February (%)",2021-03,,8.5,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
384,Côte d’Ivoire,2010,"Seats held by women in national parliament, as of February (%)",2021-03,,8.9,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
384,Côte d’Ivoire,2015,"Seats held by women in national parliament, as of February (%)",2021-03,,9.2,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
384,Côte d’Ivoire,2020,"Seats held by women in national parliament, as of February (%)",2021-03,,12.0,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
384,Côte d’Ivoire,2021,"Seats held by women in national parliament, as of February (%)",2021-03,,11.4,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
384,Côte d’Ivoire,2022,"Seats held by women in national parliament, as of February (%)",2021-03,,14.2,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
384,Côte d’Ivoire,2023,"Seats held by women in national parliament, as of February (%)",2021-03,,13.7,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
384,Côte d’Ivoire,2024,"Seats held by women in national parliament, as of February (%)",2021-03,,13.4,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
191,Croatia,2000,"Seats held by women in national parliament, as of February (%)",2020-07,,0.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
191,Croatia,2005,"Seats held by women in national parliament, as of February (%)",2020-07,,21.7,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
191,Croatia,2010,"Seats held by women in national parliament, as of February (%)",2020-07,,23.5,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
191,Croatia,2015,"Seats held by women in national parliament, as of February (%)",2020-07,,25.8,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
191,Croatia,2020,"Seats held by women in national parliament, as of February (%)",2020-07,,19.2,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
191,Croatia,2021,"Seats held by women in national parliament, as of February (%)",2020-07,,31.1,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
191,Croatia,2022,"Seats held by women in national parliament, as of February (%)",2020-07,,31.8,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
191,Croatia,2023,"Seats held by women in national parliament, as of February (%)",2020-07,,31.8,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
191,Croatia,2024,"Seats held by women in national parliament, as of February (%)",2020-07,,33.8,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
192,Cuba,2000,"Seats held by women in national parliament, as of February (%)",2023-03,,27.6,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
192,Cuba,2005,"Seats held by women in national parliament, as of February (%)",2023-03,,36.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
192,Cuba,2010,"Seats held by women in national parliament, as of February (%)",2023-03,,43.2,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
192,Cuba,2015,"Seats held by women in national parliament, as of February (%)",2023-03,,48.9,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
192,Cuba,2020,"Seats held by women in national parliament, as of February (%)",2023-03,,53.2,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
192,Cuba,2021,"Seats held by women in national parliament, as of February (%)",2023-03,,53.4,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
192,Cuba,2022,"Seats held by women in national parliament, as of February (%)",2023-03,,53.4,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
192,Cuba,2023,"Seats held by women in national parliament, as of February (%)",2023-03,,53.4,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
192,Cuba,2024,"Seats held by women in national parliament, as of February (%)",2023-03,,55.7,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
196,Cyprus,2000,"Seats held by women in national parliament, as of February (%)",2021-05,,5.4,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
196,Cyprus,2005,"Seats held by women in national parliament, as of February (%)",2021-05,,16.1,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
196,Cyprus,2010,"Seats held by women in national parliament, as of February (%)",2021-05,,12.5,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
196,Cyprus,2015,"Seats held by women in national parliament, as of February (%)",2021-05,,12.5,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
196,Cyprus,2020,"Seats held by women in national parliament, as of February (%)",2021-05,,19.6,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
196,Cyprus,2021,"Seats held by women in national parliament, as of February (%)",2021-05,,21.4,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
196,Cyprus,2022,"Seats held by women in national parliament, as of February (%)",2021-05,,14.3,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
196,Cyprus,2023,"Seats held by women in national parliament, as of February (%)",2021-05,,14.3,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
196,Cyprus,2024,"Seats held by women in national parliament, as of February (%)",2021-05,,14.3,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
203,Czechia,2000,"Seats held by women in national parliament, as of February (%)",2021-10,,15.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
203,Czechia,2005,"Seats held by women in national parliament, as of February (%)",2021-10,,17.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
203,Czechia,2010,"Seats held by women in national parliament, as of February (%)",2021-10,,15.5,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
203,Czechia,2015,"Seats held by women in national parliament, as of February (%)",2021-10,,19.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
203,Czechia,2020,"Seats held by women in national parliament, as of February (%)",2021-10,,22.5,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
203,Czechia,2021,"Seats held by women in national parliament, as of February (%)",2021-10,,23.0,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
203,Czechia,2022,"Seats held by women in national parliament, as of February (%)",2021-10,,25.5,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
203,Czechia,2023,"Seats held by women in national parliament, as of February (%)",2021-10,,26.0,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
203,Czechia,2024,"Seats held by women in national parliament, as of February (%)",2021-10,,26.0,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
408,Dem. People's Rep. Korea,2000,"Seats held by women in national parliament, as of February (%)",2019-03,,20.1,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
408,Dem. People's Rep. Korea,2005,"Seats held by women in national parliament, as of February (%)",2019-03,,20.1,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
408,Dem. People's Rep. Korea,2010,"Seats held by women in national parliament, as of February (%)",2019-03,,15.6,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
408,Dem. People's Rep. Korea,2015,"Seats held by women in national parliament, as of February (%)",2019-03,,16.3,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
408,Dem. People's Rep. Korea,2020,"Seats held by women in national parliament, as of February (%)",2019-03,,17.6,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
408,Dem. People's Rep. Korea,2021,"Seats held by women in national parliament, as of February (%)",2019-03,,17.6,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
408,Dem. People's Rep. Korea,2022,"Seats held by women in national parliament, as of February (%)",2019-03,,17.6,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
408,Dem. People's Rep. Korea,2023,"Seats held by women in national parliament, as of February (%)",2019-03,,17.6,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
408,Dem. People's Rep. Korea,2024,"Seats held by women in national parliament, as of February (%)",2019-03,,17.6,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
180,Dem. Rep. of the Congo,2005,"Seats held by women in national parliament, as of February (%)",2023-12,,12.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
180,Dem. Rep. of the Congo,2010,"Seats held by women in national parliament, as of February (%)",2023-12,,8.4,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
180,Dem. Rep. of the Congo,2015,"Seats held by women in national parliament, as of February (%)",2023-12,,8.9,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
180,Dem. Rep. of the Congo,2020,"Seats held by women in national parliament, as of February (%)",2023-12,,12.8,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
180,Dem. Rep. of the Congo,2021,"Seats held by women in national parliament, as of February (%)",2023-12,,12.8,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
180,Dem. Rep. of the Congo,2022,"Seats held by women in national parliament, as of February (%)",2023-12,,12.8,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
180,Dem. Rep. of the Congo,2023,"Seats held by women in national parliament, as of February (%)",2023-12,,12.8,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
180,Dem. Rep. of the Congo,2024,"Seats held by women in national parliament, as of February (%)",2023-12,,12.8,Data are as at 1 January of reporting year.;Data reflects the composition of the new legislature elected on 20 December 2023,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
208,Denmark,2000,"Seats held by women in national parliament, as of February (%)",2022-11,,37.4,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
208,Denmark,2005,"Seats held by women in national parliament, as of February (%)",2022-11,,38.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
208,Denmark,2010,"Seats held by women in national parliament, as of February (%)",2022-11,,38.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
208,Denmark,2015,"Seats held by women in national parliament, as of February (%)",2022-11,,38.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
208,Denmark,2020,"Seats held by women in national parliament, as of February (%)",2022-11,,39.7,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
208,Denmark,2021,"Seats held by women in national parliament, as of February (%)",2022-11,,39.7,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
208,Denmark,2022,"Seats held by women in national parliament, as of February (%)",2022-11,,39.7,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
208,Denmark,2023,"Seats held by women in national parliament, as of February (%)",2022-11,,43.6,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
208,Denmark,2024,"Seats held by women in national parliament, as of February (%)",2022-11,,45.3,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
262,Djibouti,2000,"Seats held by women in national parliament, as of February (%)",2023-02,,0.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
262,Djibouti,2005,"Seats held by women in national parliament, as of February (%)",2023-02,,10.8,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
262,Djibouti,2010,"Seats held by women in national parliament, as of February (%)",2023-02,,13.8,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
262,Djibouti,2015,"Seats held by women in national parliament, as of February (%)",2023-02,,12.7,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
262,Djibouti,2020,"Seats held by women in national parliament, as of February (%)",2023-02,,26.2,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
262,Djibouti,2021,"Seats held by women in national parliament, as of February (%)",2023-02,,26.2,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
262,Djibouti,2022,"Seats held by women in national parliament, as of February (%)",2023-02,,26.2,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
262,Djibouti,2023,"Seats held by women in national parliament, as of February (%)",2023-02,,26.2,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
262,Djibouti,2024,"Seats held by women in national parliament, as of February (%)",2023-02,,26.2,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
212,Dominica,2000,"Seats held by women in national parliament, as of February (%)",2022-12,,18.8,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
212,Dominica,2005,"Seats held by women in national parliament, as of February (%)",2022-12,,19.4,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
212,Dominica,2010,"Seats held by women in national parliament, as of February (%)",2022-12,,14.3,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
212,Dominica,2015,"Seats held by women in national parliament, as of February (%)",2022-12,,21.9,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
212,Dominica,2020,"Seats held by women in national parliament, as of February (%)",2022-12,,38.1,Data are as at 1 January of reporting year.;The figures correspond to the results of the December 2019 elections. They do not include 9 members to be appointed by the President and 2 ex officio members (the Speaker and the Attorney General).,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
212,Dominica,2021,"Seats held by women in national parliament, as of February (%)",2022-12,,34.4,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
212,Dominica,2022,"Seats held by women in national parliament, as of February (%)",2022-12,,34.4,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
212,Dominica,2023,"Seats held by women in national parliament, as of February (%)",2022-12,,37.5,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
212,Dominica,2024,"Seats held by women in national parliament, as of February (%)",2022-12,,37.5,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
