T05,Proportion of seats held by women in national parliament,,,,,,,
Region/Country/Area,,Year,Series,Last Election Date,Last Election Date footnote,Value,Footnotes,Source
14,Eastern Africa,2021,"Seats held by women in national parliament, as of February (%)",,,31.2,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
14,Eastern Africa,2022,"Seats held by women in national parliament, as of February (%)",,,31.7,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
14,Eastern Africa,2023,"Seats held by women in national parliament, as of February (%)",,,31.5,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
14,Eastern Africa,2024,"Seats held by women in national parliament, as of February (%)",,,31.4,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
17,Middle Africa,2000,"Seats held by women in national parliament, as of February (%)",,,8.6,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
17,Middle Africa,2005,"Seats held by women in national parliament, as of February (%)",,,11.2,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
17,Middle Africa,2010,"Seats held by women in national parliament, as of February (%)",,,13.5,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
17,Middle Africa,2015,"Seats held by women in national parliament, as of February (%)",,,18.1,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
17,Middle Africa,2020,"Seats held by women in national parliament, as of February (%)",,,17.6,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
17,Middle Africa,2021,"Seats held by women in national parliament, as of February (%)",,,18.4,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
17,Middle Africa,2022,"Seats held by women in national parliament, as of February (%)",,,19.7,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
17,Middle Africa,2023,"Seats held by women in national parliament, as of February (%)",,,20.8,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
17,Middle Africa,2024,"Seats held by women in national parliament, as of February (%)",,,22.4,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
18,Southern Africa,2000,"Seats held by women in national parliament, as of February (%)",,,22.5,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
18,Southern Africa,2005,"Seats held by women in national parliament, as of February (%)",,,24.6,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
18,Southern Africa,2010,"Seats held by women in national parliament, as of February (%)",,,33.4,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
18,Southern Africa,2015,"Seats held by women in national parliament, as of February (%)",,,33.4,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
18,Southern Africa,2020,"Seats held by women in national parliament, as of February (%)",,,35.6,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
18,Southern Africa,2021,"Seats held by women in national parliament, as of February (%)",,,35.6,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
18,Southern Africa,2022,"Seats held by women in national parliament, as of February (%)",,,36.6,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
18,Southern Africa,2023,"Seats held by women in national parliament, as of February (%)",,,36.9,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
18,Southern Africa,2024,"Seats held by women in national parliament, as of February (%)",,,37.2,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
11,Western Africa,2000,"Seats held by women in national parliament, as of February (%)",,,8.2,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
11,Western Africa,2005,"Seats held by women in national parliament, as of February (%)",,,10.2,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
11,Western Africa,2010,"Seats held by women in national parliament, as of February (%)",,,11.6,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
11,Western Africa,2015,"Seats held by women in national parliament, as of February (%)",,,14.5,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
11,Western Africa,2020,"Seats held by women in national parliament, as of February (%)",,,14.8,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
11,Western Africa,2021,"Seats held by women in national parliament, as of February (%)",,,15.9,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
11,Western Africa,2022,"Seats held by women in national parliament, as of February (%)",,,17.0,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
11,Western Africa,2023,"Seats held by women in national parliament, as of February (%)",,,18.5,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
11,Western Africa,2024,"Seats held by women in national parliament, as of February (%)",,,19.5,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
21,Northern America,2000,"Seats held by women in national parliament, as of February (%)",,,16.3,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
21,Northern America,2005,"Seats held by women in national parliament, as of February (%)",,,17.5,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
21,Northern America,2010,"Seats held by women in national parliament, as of February (%)",,,19.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
21,Northern America,2015,"Seats held by women in national parliament, as of February (%)",,,21.8,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
21,Northern America,2020,"Seats held by women in national parliament, as of February (%)",,,25.9,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
21,Northern America,2021,"Seats held by women in national parliament, as of February (%)",,,28.3,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
21,Northern America,2022,"Seats held by women in national parliament, as of February (%)",,,28.9,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
21,Northern America,2023,"Seats held by women in national parliament, as of February (%)",,,30.0,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
21,Northern America,2024,"Seats held by women in national parliament, as of February (%)",,,29.7,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
419,Latin America & the Caribbean,2000,"Seats held by women in national parliament, as of February (%)",,,15.2,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
419,Latin America & the Caribbean,2005,"Seats held by women in national parliament, as of February (%)",,,19.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
419,Latin America & the Caribbean,2010,"Seats held by women in national parliament, as of February (%)",,,22.7,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
419,Latin America & the Caribbean,2015,"Seats held by women in national parliament, as of February (%)",,,27.4,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
419,Latin America & the Caribbean,2020,"Seats held by women in national parliament, as of February (%)",,,32.1,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
419,Latin America & the Caribbean,2021,"Seats held by women in national parliament, as of February (%)",,,33.0,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
419,Latin America & the Caribbean,2022,"Seats held by women in national parliament, as of February (%)",,,34.9,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
419,Latin America & the Caribbean,2023,"Seats held by women in national parliament, as of February (%)",,,35.8,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
419,Latin America & the Caribbean,2024,"Seats held by women in national parliament, as of February (%)",,,35.8,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
29,Caribbean,2000,"Seats held by women in national parliament, as of February (%)",,,20.6,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
29,Caribbean,2005,"Seats held by women in national parliament, as of February (%)",,,26.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
29,Caribbean,2010,"Seats held by women in national parliament, as of February (%)",,,29.4,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
29,Caribbean,2015,"Seats held by women in national parliament, as of February (%)",,,33.1,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
29,Caribbean,2020,"Seats held by women in national parliament, as of February (%)",,,36.7,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
29,Caribbean,2021,"Seats held by women in national parliament, as of February (%)",,,40.8,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
29,Caribbean,2022,"Seats held by women in national parliament, as of February (%)",,,40.9,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
29,Caribbean,2023,"Seats held by women in national parliament, as of February (%)",,,41.1,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
29,Caribbean,2024,"Seats held by women in national parliament, as of February (%)",,,40.7,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
